ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 143;mg_mpi_f90_aocc;mg.f90:739-741;resid;Innermost;6.960000038147;6.9600005149841;26.494171142578;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 142;mg_mpi_f90_aocc;mg.f90:753-753;resid;Innermost;4.9399995803833;4.9399991035461;18.804767608643;1.00;1.00;1.00;1.25;1;100.00;100.00;20.00;20.00;20.00;20.00;16.00
Loop 147;mg_mpi_f90_aocc;mg.f90:669-671;psinv;Innermost;3.0999989509583;3.0999991893768;11.800560951233;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 146;mg_mpi_f90_aocc;mg.f90:678-678;psinv;Innermost;2.3949997425079;2.3949999809265;9.1168870925903;1.00;1.00;1.00;1.13;1;100.00;100.00;22.67;22.67;22.67;22.67;20.00
Loop 152;mg_mpi_f90_aocc;mg.f90:835-837;rprj3;Innermost;1.2799994945526;1.2799994945526;4.8724894523621;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 151;mg_mpi_f90_aocc;mg.f90:844-851;rprj3;Innermost;1.0199999809265;1.0200001001358;3.8827664852142;1.00;1.00;1.00;2.00;1;96.00;96.50;24.00;24.00;24.00;24.00;12.00
Loop 114;mg_mpi_f90_aocc;mg.f90:1849-1850;comm1p;Single;0.61000001430511;0.60999995470047;2.3220465183258;1.00;1.00;1.00;16.00;1;100.00;100.00;16.00;16.00;16.00;16.00;1.00
Loop 2;mg_mpi_f90_aocc;mg.f90:1078-1081;norm2u3;Innermost;0.43500000238419;0.43500003218651;1.6558856964111;1.01;1.56;5.36;2.78;256;28.57;16.07;12.50;12.33;8.00;2.33;4.50
Loop 102;mg_mpi_f90_aocc;mg.f90:940-942;interp;Innermost;0.34999999403954;0.35000002384186;1.3323218822479;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 100;mg_mpi_f90_aocc;mg.f90:928-930;interp;Innermost;0.3299999833107;0.33000001311302;1.2561891078949;1.00;1.00;1.00;2.00;1;100.00;100.00;16.00;16.00;16.00;16.00;8.00
Loop 104;mg_mpi_f90_aocc;mg.f90:915-917;interp;Innermost;0.30500000715256;0.30499997735023;1.1610232591629;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 101;mg_mpi_f90_aocc;mg.f90:934-936;interp;Innermost;0.30000001192093;0.30000001192093;1.1419901847839;1.00;1.00;1.00;2.00;1;100.00;100.00;16.00;16.00;16.00;16.00;8.00
Loop 182;mg_mpi_f90_aocc;randi8.f90:59-61;vranlc;Single;0.28499999642372;0.28499999642372;1.0848906040192;1.00;1.29;8.00;1.00;1;0.00;12.50;32.00;32.00;24.84;4.00;32.00
Loop 103;mg_mpi_f90_aocc;mg.f90:922-924;interp;Innermost;0.27000001072884;0.27000001072884;1.0277911424637;1.00;1.00;1.00;2.00;1;100.00;100.00;16.00;16.00;16.00;16.00;8.00
Loop 18;mg_mpi_f90_aocc;mg.f90:2109-2110;comm1p_ex;Single;0.18500001728535;0.18499998748302;0.70422720909119;1.00;1.00;1.00;16.00;1;100.00;100.00;16.00;16.00;16.00;16.00;1.00
Loop 165;mg_mpi_f90_aocc;mg.f90:2194-2207;zran3;Innermost;0.15000000596046;0.15000000596046;0.57099509239197;3.10;1.00;6.48;5.27;256;0.00;9.38;26.33;8.50;26.33;4.06;5.00
Loop 118;mg_mpi_f90_aocc;mg.f90:1793-1793;comm1p;Innermost;0.14000000059605;0.14000000059605;0.53292870521545;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 116;mg_mpi_f90_aocc;mg.f90:1825-1825;comm1p;Innermost;0.13000001013279;0.13000001013279;0.49486237764359;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 140;mg_mpi_f90_aocc;mg.f90:732-732,mg.f90:736-743,mg.f90:753-753;resid;InBetween;0.12000000476837;0.11999999731779;0.45679605007172;1.67;1.00;1.20;1.94;4026;61.83;50.77;87.33;52.33;87.33;72.73;45.00
Loop 105;mg_mpi_f90_aocc;mg.f90:1860-1862;comm1p;Innermost;0.11500000208616;0.11500000208616;0.43776288628578;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 144;mg_mpi_f90_aocc;mg.f90:666-673,mg.f90:678-678;psinv;InBetween;0.10999999940395;0.10999999940395;0.41872972249985;1.55;1.00;1.21;1.74;4026;60.91;50.25;86.33;55.67;86.33;71.31;49.50
Loop 107;mg_mpi_f90_aocc;mg.f90:1893-1895;comm1p;Innermost;0.10500000417233;0.10500000417233;0.39969652891159;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 150;mg_mpi_f90_aocc;mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;rprj3;InBetween;0.060000002384186;0.059999998658895;0.22839802503586;1.96;1.60;3.28;2.58;260;25.43;21.52;116.00;59.33;72.38;35.38;45.00
Loop 99;mg_mpi_f90_aocc;mg.f90:912-917,mg.f90:920-942,mg.f90:974-974,mg.f90:987-987;interp;InBetween;0.025000000372529;0.025000000372529;0.095165841281414;1.51;1.02;1.25;3.90;1000012;69.76;57.35;158.00;104.33;154.52;126.21;40.50
Loop 110;mg_mpi_f90_aocc;mg.f90:1901-1904;comm1p;Single;0.0049999998882413;0.0049999998882413;0.01903316937387;1.00;1.00;15.68;12.25;1;0.00;6.25;8.17;8.17;8.17;0.52;0.67
