key;label;is_mpi;is_omp;
fedora_544562;2;true;false;
fedora_544562_544562;2.0;true;false;
fedora_544558;4;true;false;
fedora_544558_544558;4.0;true;false;
fedora_544549;3;true;false;
fedora_544549_544549;3.0;true;false;
fedora_544557;0;true;false;
fedora_544557_544557;0.0;true;false;
fedora_544556;7;true;false;
fedora_544556_544556;7.0;true;false;
fedora_544559;5;true;false;
fedora_544559_544559;5.0;true;false;
fedora_544561;6;true;false;
fedora_544561_544561;6.0;true;false;
fedora_544560;1;true;false;
fedora_544560_544560;1.0;true;false;
