key;label;is_mpi;is_omp;
fedora_546443;4;true;false;
fedora_546443_546443;4.0;true;false;
fedora_546447;6;true;false;
fedora_546447_546447;6.0;true;false;
fedora_546444;1;true;false;
fedora_546444_546444;1.0;true;false;
fedora_546434;3;true;false;
fedora_546434_546434;3.0;true;false;
fedora_546448;2;true;false;
fedora_546448_546448;2.0;true;false;
fedora_546445;7;true;false;
fedora_546445_546445;7.0;true;false;
fedora_546442;5;true;false;
fedora_546442_546442;5.0;true;false;
fedora_546441;0;true;false;
fedora_546441_546441;0.0;true;false;
