key;label;is_mpi;is_omp;
fedora_551108;2;true;false;
fedora_551108_551108;2.0;true;false;
fedora_551105;4;true;false;
fedora_551105_551105;4.0;true;false;
fedora_551111;6;true;false;
fedora_551111_551111;6.0;true;false;
fedora_551106;5;true;false;
fedora_551106_551106;5.0;true;false;
fedora_551109;0;true;false;
fedora_551109_551109;0.0;true;false;
fedora_551098;1;true;false;
fedora_551098_551098;1.0;true;false;
fedora_551112;7;true;false;
fedora_551112_551112;7.0;true;false;
fedora_551107;3;true;false;
fedora_551107_551107;3.0;true;false;
