key;label;is_mpi;is_omp;
fedora_548518;1;true;false;
fedora_548518_548518;1.0;true;false;
fedora_548526;0;true;false;
fedora_548526_548526;0.0;true;false;
fedora_548530;6;true;false;
fedora_548530_548530;6.0;true;false;
fedora_548527;5;true;false;
fedora_548527_548527;5.0;true;false;
fedora_548528;7;true;false;
fedora_548528_548528;7.0;true;false;
fedora_548529;4;true;false;
fedora_548529_548529;4.0;true;false;
fedora_548525;3;true;false;
fedora_548525_548525;3.0;true;false;
fedora_548532;2;true;false;
fedora_548532_548532;2.0;true;false;
