node;pid;tid;core_id;sample_count;
fedora;16344;16370;1;1;
fedora;16344;16370;15;268;
fedora;16344;16370;16;1738;
fedora;16344;16369;13;2003;
fedora;16344;16369;14;3;
fedora;16344;16368;1;1;
fedora;16344;16368;11;89;
fedora;16344;16368;12;1916;
fedora;16344;16366;7;139;
fedora;16344;16366;8;1867;
fedora;16344;16367;9;1779;
fedora;16344;16367;10;226;
fedora;16344;16364;3;89;
fedora;16344;16364;4;1917;
fedora;16344;16363;1;288;
fedora;16344;16363;2;1719;
fedora;16344;16365;5;739;
fedora;16344;16365;6;1266;
