group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VADDSD,VADDSD,;24,40,;0x4064d4,0x406551,;Success;32;Success;16;16;0;24;0;2;
6;LLLLLL;VMULSD,VADDSD,VADDSD,VMULSD,VADDSD,VADDSD,;-24,-32,-16,-8,-16,0,;0x4064ad,0x4064e1,0x4064ee,0x406529,0x406567,0x40656e,;Success;32;Success;48;40;8;40;40;1;
2;LL;VADDSD,VADDSD,;24,40,;0x4064da,0x406557,;Success;32;Success;16;16;0;24;0;2;
3;LLL;VMOVSD,VADDSD,VADDSD,;-16,-32,0,;0x406503,0x40650a,0x406530,;Success;32;Success;24;24;0;40;24;1;
2;LL;VADDSD,VADDSD,;24,40,;0x4064c0,0x40653d,;Success;32;Success;16;16;0;24;0;2;
2;LL;VADDSD,VADDSD,;24,40,;0x4064c7,0x406544,;Success;32;Success;16;16;0;24;0;2;
2;SS;VMOVSD,VMOVSD,;-8,0,;0x406516,0x40658c,;Success;16;Success;16;16;0;16;16;2;
2;LL;VMOVSD,VMOVSD,;24,40,;0x4064a7,0x40651c,;Success;32;Success;16;16;0;24;0;2;
2;LL;VMOVSD,VMOVSD,;24,40,;0x4064a0,0x406522,;Success;32;Success;16;16;0;24;0;2;
2;LL;VADDSD,VADDSD,;24,40,;0x4064ba,0x406537,;Success;32;Success;16;16;0;24;0;2;
2;LL;VADDSD,VADDSD,;24,40,;0x4064cd,0x40654a,;Success;32;Success;16;16;0;24;0;2;
1;L;MOV,;0,;0x406599,;Success;0;Success;8;8;0;8;0;1;
3;LLL;VMOVSD,VADDSD,VADDSD,;-16,-32,0,;0x4064b4,0x4064e8,0x406578,;Success;32;Success;24;24;0;40;24;1;
