ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 148;mg_mpi_f90_aocc;mg.f90:739-741;resid;Innermost;2.8550004959106;2.4314215183258;20.110969543457;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 147;mg_mpi_f90_aocc;mg.f90:753-753;resid;Innermost;2.4200003147125;2.07395195961;17.154237747192;1.00;1.00;1.00;1.25;1;100.00;100.00;20.00;20.00;20.00;20.00;16.00
Loop 144;mg_mpi_f90_aocc;mg.f90:669-671;psinv;Innermost;1.1000001430511;0.95011711120605;7.8586850166321;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 143;mg_mpi_f90_aocc;mg.f90:678-678;psinv;Innermost;0.73499995470047;0.60707151889801;5.0212588310242;1.00;1.00;1.00;1.13;1;100.00;100.00;22.67;22.67;22.67;22.67;20.00
Loop 140;mg_mpi_f90_aocc;mg.f90:835-837;rprj3;Innermost;0.61000001430511;0.56129026412964;4.6425890922546;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 94;mg_mpi_f90_aocc;mg.f90:940-942;interp;Innermost;0.28499999642372;0.25900882482529;2.1423344612122;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 96;mg_mpi_f90_aocc;mg.f90:928-930;interp;Innermost;0.25;0.22012613713741;1.8207249641418;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 139;mg_mpi_f90_aocc;mg.f90:844-851;rprj3;Innermost;0.22499999403954;0.19629481434822;1.6236094236374;1.00;1.00;1.00;2.00;1;96.00;96.50;24.00;24.00;24.00;24.00;12.00
Loop 95;mg_mpi_f90_aocc;mg.f90:934-936;interp;Innermost;0.26999998092651;0.19253198802471;1.5924860239029;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 97;mg_mpi_f90_aocc;mg.f90:922-924;interp;Innermost;0.24500000476837;0.18500630557537;1.5302389860153;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 98;mg_mpi_f90_aocc;mg.f90:915-917;interp;Innermost;0.19999998807907;0.13734365999699;1.1360079050064;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 145;mg_mpi_f90_aocc;mg.f90:736-743,mg.f90:753-753,mg.f90:773-773;resid;InBetween;0.18999998271465;0.13232652842999;1.0945098400116;1.69;1.00;1.20;1.95;4026;61.50;50.53;87.67;52.00;87.67;73.06;45.00
Loop 2;mg_mpi_f90_aocc;mg.f90:1078-1081;norm2u3;Innermost;0.090000003576279;0.086545325815678;0.71584063768387;1.01;1.56;5.36;2.78;256;28.57;16.07;12.50;12.33;8.00;2.33;4.50
Loop 132;mg_mpi_f90_aocc;mg.f90:1307-1307;give3;Innermost;0.11999999731779;0.077138215303421;0.63803178071976;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 192;mg_mpi_f90_aocc;randi8.f90:59-61;vranlc;Single;0.08500000089407;0.075256802141666;0.62247008085251;1.00;1.29;8.00;1.00;1;0.00;12.50;32.00;32.00;24.84;4.00;32.00
Loop 117;mg_mpi_f90_aocc;mg.f90:1432-1434;take3;Innermost;0.089999996125698;0.068985395133495;0.57059752941132;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 130;mg_mpi_f90_aocc;mg.f90:1291-1291;give3;Innermost;0.10499999672174;0.06710397452116;0.55503576993942;1.00;1.00;4.00;1.00;1;33.33;16.67;8.00;8.00;8.00;2.00;8.00
Loop 161;mg_mpi_f90_aocc;mg.f90:2194-2206,mg.f90:2494-2510,mg.f90:2520-2536;zran3;Innermost;0.060000002384186;0.0533069036901;0.44091632962227;1.07;1.00;7.07;5.09;121;7.92;10.49;56.00;52.17;56.00;7.92;11.00
Loop 119;mg_mpi_f90_aocc;mg.f90:1441-1443;take3;Innermost;0.089999996125698;0.048289783298969;0.39941829442978;1.00;1.00;5.33;1.33;1;0.00;12.50;5.33;5.33;5.33;1.00;4.00
Loop 138;mg_mpi_f90_aocc;mg.f90:827-827,mg.f90:831-832,mg.f90:835-837,mg.f90:840-841,mg.f90:844-846,mg.f90:851-851;rprj3;InBetween;0.070000000298023;0.042645517736673;0.3527330160141;2.16;1.61;3.26;2.57;260;25.69;21.64;115.83;53.67;71.96;35.52;45.00
Loop 141;mg_mpi_f90_aocc;mg.f90:666-673,mg.f90:678-678,mg.f90:703-703;psinv;InBetween;0.070000000298023;0.042645517736673;0.3527330160141;1.58;1.00;1.21;1.75;4026;60.00;49.66;86.67;55.00;86.67;71.35;49.50
Loop 93;mg_mpi_f90_aocc;mg.f90:912-917,mg.f90:920-942,mg.f90:974-974;interp;InBetween;0.044999998062849;0.022577038034797;0.18674100935459;1.42;1.03;1.25;3.49;1000012;68.91;58.76;150.17;106.00;145.77;120.53;43.00
Loop 121;mg_mpi_f90_aocc;mg.f90:1475-1478;take3;Single;0.0099999997764826;0.0012542799813673;0.010374501347542;1.00;1.00;6.65;13.50;1;0.00;8.52;9.00;9.00;9.00;1.35;0.67
Loop 3;mg_mpi_f90_aocc;mg.f90:1077-1081;norm2u3;InBetween;0.0049999998882413;0.0012542799813673;0.010374501347542;1.30;2.20;7.53;2.00;65534;22.22;15.18;16.00;12.33;7.29;2.13;8.00
Loop 146;mg_mpi_f90_aocc;mg.f90:708-708,mg.f90:735-736;resid;Outermost;0.0049999998882413;0.0012542799813673;0.010374501347542;9.78;1.00;6.40;22.00;4026;0.00;11.76;14.67;1.50;14.67;2.29;0.67
Loop 120;mg_mpi_f90_aocc;mg.f90:1440-1443;take3;Outermost;0.0049999998882413;0.00062713999068365;0.0051872506737709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 157;mg_mpi_f90_aocc;mg.f90:2294-2296;zran3;Innermost;0.0049999998882413;0.00062713999068365;0.0051872506737709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 127;mg_mpi_f90_aocc;mg.f90:1324-1327;give3;Single;0.0049999998882413;0.00062713999068365;0.0051872506737709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 156;mg_mpi_f90_aocc;mg.f90:2293-2296;zran3;Outermost;0.0049999998882413;0.00062713999068365;0.0051872506737709;1.00;1.00;16.00;2.67;16;0.00;8.55;13.33;13.33;13.33;0.83;5.00
Loop 142;mg_mpi_f90_aocc;mg.f90:665-666,mg.f90:678-678;psinv;Outermost;0.0049999998882413;0.00062713999068365;0.0051872506737709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 126;mg_mpi_f90_aocc;mg.f90:1376-1379;give3;Single;0.0050000003539026;0.00062713999068365;0.0051872506737709;1.00;1.00;6.65;9.00;1;0.00;9.82;9.00;9.00;9.00;1.35;1.00
