node;pid;tid;core_id;sample_count;
lbw-Lenovo-G5000-IRH8;59820;59845;1;136;
lbw-Lenovo-G5000-IRH8;59820;59845;2;253;
lbw-Lenovo-G5000-IRH8;59820;59845;3;15;
lbw-Lenovo-G5000-IRH8;59820;59845;4;232;
lbw-Lenovo-G5000-IRH8;59820;59845;5;121;
lbw-Lenovo-G5000-IRH8;59820;59845;6;608;
lbw-Lenovo-G5000-IRH8;59820;59845;7;1;
lbw-Lenovo-G5000-IRH8;59820;59845;9;184;
lbw-Lenovo-G5000-IRH8;59820;59845;10;61;
lbw-Lenovo-G5000-IRH8;59820;59845;11;104;
lbw-Lenovo-G5000-IRH8;59820;59845;12;343;
lbw-Lenovo-G5000-IRH8;59820;59845;13;1379;
lbw-Lenovo-G5000-IRH8;59820;59845;15;1;
lbw-Lenovo-G5000-IRH8;59820;59845;16;557;
lbw-Lenovo-G5000-IRH8;59820;59857;1;110;
lbw-Lenovo-G5000-IRH8;59820;59857;2;289;
lbw-Lenovo-G5000-IRH8;59820;59857;3;1;
lbw-Lenovo-G5000-IRH8;59820;59857;4;1;
lbw-Lenovo-G5000-IRH8;59820;59857;5;6;
lbw-Lenovo-G5000-IRH8;59820;59857;6;1316;
lbw-Lenovo-G5000-IRH8;59820;59857;7;10;
lbw-Lenovo-G5000-IRH8;59820;59857;9;76;
lbw-Lenovo-G5000-IRH8;59820;59857;10;54;
lbw-Lenovo-G5000-IRH8;59820;59857;11;152;
lbw-Lenovo-G5000-IRH8;59820;59857;12;102;
lbw-Lenovo-G5000-IRH8;59820;59857;13;118;
lbw-Lenovo-G5000-IRH8;59820;59857;14;1817;
lbw-Lenovo-G5000-IRH8;59820;59857;16;1;
lbw-Lenovo-G5000-IRH8;59820;59842;1;46;
lbw-Lenovo-G5000-IRH8;59820;59842;2;81;
lbw-Lenovo-G5000-IRH8;59820;59842;3;3;
lbw-Lenovo-G5000-IRH8;59820;59842;4;260;
lbw-Lenovo-G5000-IRH8;59820;59842;7;22;
lbw-Lenovo-G5000-IRH8;59820;59842;8;3342;
lbw-Lenovo-G5000-IRH8;59820;59842;9;3;
lbw-Lenovo-G5000-IRH8;59820;59842;10;14;
lbw-Lenovo-G5000-IRH8;59820;59842;11;55;
lbw-Lenovo-G5000-IRH8;59820;59842;12;168;
