group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
6;LLLLLL;VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,;-48,-40,-32,-24,-16,-8,;0xe4a1,0xe4a6,0xe4b2,0xe4b7,0xe4c3,0xe4c8,;Success;64;Success;48;48;0;48;0;6;
2;LL;VMOVSD,VMOVSD,;0,8,;0xe494,0xe498,;Success;64;Success;16;16;0;16;0;2;
1;S;VMOVSD,;0,;0xe4e2,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4db,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4d4,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4cd,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4bc,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4ab,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4f0,;Not found;0;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0xe4e9,;Not found;0;Success;8;8;0;8;0;1;
